otu.names	W_stat	W_f	Environment_relAbund	Toad_relAbund	detected_wcrit	detected_0.9	detected_0.8	detected_0.7	detected_0.6	effSize_statcrit	effSize_0.9	effSize_0.8	effSize_0.7	effSize_0.6	Enriched
126	OTU_95	1	3.24302144230697	0.00129906740906539	0.0107767853079086	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
127	OTU_5170	1	3.16523072040523	8.44886961797191e-05	0.000888271437483502	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
128	OTU_62	1	3.09831624338065	0.00220809318892077	0.0112079474305469	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	TRUE	Transient, not significant
129	OTU_1762	1	2.59405539606728	0.000247255735854185	0.00435931196727983	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
130	OTU_378	1	2.50250489828381	0.00012654394451913	0.030525625831566	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	TRUE	Transient, not significant
131	OTU_6722	1	2.22443635153427	0.000341663041793537	0.00233359735199924	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
132	OTU_272	1	2.1586823607284	0.000467845640236492	0.00123166181303426	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
133	OTU_113	1	2.08551292205838	0.00127364288069316	0.00418269394990303	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
134	OTU_342	1	1.90395380539245	0.000133208711573179	0.0188473832808793	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
135	OTU_663	1	1.8639848241308	0.000215207852340553	0.00264489244143991	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
136	OTU_2489	1	1.46390130305064	0.000424978047721116	0.00136099316310175	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
137	OTU_1176	1	1.26371314235716	0.000714243800316493	0.00010275380189067	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
138	OTU_257	1	1.19624515065515	0.000813876528627723	0.0093869898449433	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
139	OTU_198	1	1.12356653434985	0.000972440765905167	0.0129430599229257	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
140	OTU_137	1	1.08988332396206	0.00327987338493578	0.0256657689751378	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
141	OTU_1974	1	0.986887393130442	0.000130010834236186	0.000392072508524209	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
142	OTU_72	1	0.92071724624438	0.0137760622377994	0.0124925095591644	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
143	OTU_989	1	0.905471784176949	0.00036199782419389	0.00141603840740709	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	FALSE	Transient, not significant
